% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%stayforage = [.1, .5, .9]
%learnalg = [r, n, b]
% 	Parameters		Results
Timestep	stayforage	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .001, true, .334, .333, .001, 25, 0, .1, true, r, .01]
89000	.1	r	0.021677768957736623	0.47515915218147875	0.49631345282425404	0.9783222310207158	0.9946062830562686	0.9779842516672979	0.1425056179775281	0.1425056179775281	0.593808988764045	414.0	578.0	8.0	
90000	.1	r	1.4673151986775363E-6	0.4735125146154482	0.49631345282425404	0.999998532663335	0.9999989678014731	0.9957544239770331	0.14107777777777777	0.14107777777777777	0.5911888888888889	415.0	577.0	8.0	
91000	.1	r	0.008283290084887918	0.4739279706495467	0.49631345282425404	0.9917167098934396	0.98328483389789	0.957191609457769	0.1401868131868132	0.1401868131868132	0.5930769230769231	412.0	580.0	8.0	
92000	.1	r	0.001898730382114886	0.47584535526106897	0.5007608547245559	0.9981012695945995	0.9985464804745315	0.991956305701968	0.13941304347826086	0.13941304347826086	0.5875652173913043	386.0	609.0	5.0	
93000	.1	r	0.0016228980054348934	0.47530651311303684	0.5007608547245559	0.9983771019712441	0.9990405147964616	0.9883399637525109	0.13806451612903226	0.13806451612903226	0.5826881720430107	388.0	607.0	5.0	
94000	.1	r	3.777902262405345E-5	0.46829559023081413	0.5007608547245559	0.999962220953458	0.9999410863730424	0.9968496037372244	0.13708510638297872	0.13708510638297872	0.5966063829787234	395.0	600.0	5.0	
95000	.1	r	0.007274859231921127	0.47073453348831457	0.5009510684056948	0.9927251407431217	0.9832288942808031	0.921711887306721	0.13627368421052632	0.13627368421052632	0.5908947368421053	385.0	611.0	4.0	
96000	.1	r	0.0034922449825293186	0.4707984852398056	0.5009510684056948	0.9965077549923849	0.9989319882854372	0.9961455358799534	0.13514583333333333	0.13514583333333333	0.586625	384.0	612.0	4.0	
97000	.1	r	3.9745423586593013E-4	0.47111132520656107	0.4920116998835892	0.9996025457386724	0.9982608556539203	0.9749114223866444	0.13383505154639175	0.13383505154639175	0.580680412371134	382.0	615.0	3.0	
98000	.1	r	8.840953480802773E-4	0.4711093538454257	0.49769751247513383	0.999115904626181	0.9993726745510957	0.9986456526197399	0.13285714285714287	0.13285714285714287	0.5793163265306123	389.0	609.0	2.0	
