% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .01, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = 1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%basevig = [.01, .05, .1]
%learnalg = [r, n, b]
% 	Parameters		Results
Timestep	basevig	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .01, true, .334, .333, .001, 25, 0, 1, true, r, .01]
25000	.01	n	0.025960461753664652	0.4879441879992374	0.5010380860146312	0.9740395382461916	0.9759350972395964	0.8518472287448495	0.189	0.189	0.201	431.0	388.0	181.0	
26000	.01	n	0.02233563179935898	0.48467707003383653	0.5024819306921857	0.9776643682005133	0.974120198661962	0.8518500692533518	0.18	0.18	0.538	445.0	378.0	177.0	
27000	.01	n	0.02493446567501142	0.4866154253722414	0.500571854632467	0.9750655343249066	0.9773969468485992	0.8727185353776863	0.157	0.157	0.365	457.0	387.0	156.0	
28000	.01	n	0.01986272520196214	0.4858150362444492	0.5007155823128767	0.9801372747980033	0.9793077715580049	0.890662105503899	0.141	0.141	0.187	460.0	391.0	149.0	
29000	.01	n	0.03115240889888431	0.48059266084600055	0.5020753346066275	0.9688475911010792	0.9703588019830675	0.8824812444971661	0.168	0.168	1.14	468.0	390.0	142.0	
30000	.01	n	0.030622173717463622	0.47940942708858625	0.4990051817377467	0.9693778262824859	0.9779521419128444	0.8737838432135668	0.204	0.204	0.911	458.0	399.0	143.0	
31000	.01	n	0.026199154123582837	0.4822939934477943	0.4992503040457283	0.9738008458763305	0.9726617539309886	0.8728067547618694	0.197	0.197	0.323	448.0	404.0	148.0	
32000	.01	n	0.024401476266268932	0.4838408277078243	0.4980290249732475	0.9755985237336382	0.973069282225602	0.877279489701501	0.143	0.143	0.513	459.0	406.0	135.0	
33000	.01	n	0.01651970575245708	0.4856648125545994	0.4979994358041387	0.9834802942474139	0.9860862888399052	0.8895189479393193	0.113	0.113	0.262	466.0	410.0	124.0	
34000	.01	n	0.016279455832534175	0.4864670288199431	0.49740092062721863	0.9837205441673631	0.9816647589255503	0.8984824389811739	0.097	0.097	0.131	460.0	416.0	124.0	
