% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = b, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
% 	Parameters	Results
Timestep	vigilance	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, b, .01]
880000	false	NaN	0.36	0.4348717948717949	NaN	1.0	1.0	0.0	25.0	975.0	
890000	false	NaN	0.47619047619047616	0.416241062308478	NaN	1.0	0.9994892747701737	0.0	21.0	979.0	
900000	false	NaN	0.5	0.41565040650406504	NaN	1.0	1.0	0.0	16.0	984.0	
910000	false	NaN	0.36538461538461536	0.4235112936344969	NaN	1.0	1.0	0.0	26.0	974.0	
920000	false	NaN	0.4230769230769231	0.43037974683544306	NaN	1.0	1.0	0.0	52.0	948.0	
930000	false	NaN	0.3877551020408163	0.4395373291272345	NaN	1.0	1.0	0.0	49.0	951.0	
940000	false	NaN	0.3958333333333333	0.42016806722689076	NaN	1.0	1.0	0.0	48.0	952.0	
950000	false	NaN	0.3854166666666667	0.41386554621848737	NaN	1.0	1.0	0.0	48.0	952.0	
960000	false	NaN	0.3541666666666667	0.42909663865546216	NaN	1.0	0.9994747899159664	0.0	48.0	952.0	
970000	false	NaN	0.375	0.45	NaN	1.0	1.0	0.0	40.0	960.0	
980000	false	NaN	0.4406779661016949	0.4208289054197662	NaN	1.0	1.0	0.0	59.0	941.0	
990000	false	NaN	0.4057971014492754	0.42749731471535984	NaN	1.0	1.0	0.0	69.0	931.0	
